cluster,label,size_n,size_pct,age_years_mean,bmi_mean,systolic_bp_mean,pulse_pressure_mean,lifestyle_risk_score_mean,cholesterol_raw_mean,target_rate,dominant_bp_category,description
0,High-Risk Metabolic,21213,30.64,54.65,29.7,146.5,56.86,0.49,191.21,0.7686,3,"Mean age 54.7, BMI 29.7, systolic BP 146.5, pulse pressure 56.9."
1,Moderate-Risk Lifestyle,42340,61.15,51.28,26.16,117.31,40.11,0.47,164.29,0.329,2,"Mean age 51.3, BMI 26.2, systolic BP 117.3, pulse pressure 40.1."
2,High-Risk Metabolic,5685,8.21,55.22,29.0,129.83,47.09,0.4,241.11,0.6188,2,"Mean age 55.2, BMI 29.0, systolic BP 129.8, pulse pressure 47.1."
