model,cv_auc,test_auc,precision,recall,f1,confusion_matrix,validation_threshold,validation_threshold_f1,selection_score
XGBoost,0.8032131545267438,0.809836356698368,0.6908360128617363,0.7957407407407407,0.7395869191049914,"[[3755, 1923], [1103, 4297]]",0.4699999999999999,0.7423479910898441,0.7423479910898441
LogisticRegression,0.7961790473554865,0.8052494031544754,0.7323025335320418,0.7279629629629629,0.7301263001485884,"[[4241, 1437], [1469, 3931]]",0.41999999999999993,0.7407407407407407,0.7407407407407407
RandomForest,0.7416957933420341,0.7453490241738745,0.67765302426657,0.692962962962963,0.6852224867240432,"[[3898, 1780], [1658, 3742]]",0.21999999999999997,0.7024514581302946,0.7024514581302946
