error_type,count,age_years_mean,systolic_bp_mean,diastolic_bp_mean,bmi_mean,cholesterol_raw_mean,glucose_raw_mean,smoke_mean,alcohol_mean,active_mean,pulse_pressure_mean,mean_arterial_pressure_mean,age_cholesterol_interaction_mean,systolic_bp_squared_mean,lifestyle_risk_score_mean,alcohol_missing_mean,active_missing_mean,bp_bmi_interaction_mean,age_bp_interaction_mean
false_positive,2932,55.61698499317872,128.23141200545703,82.1956002728513,28.156625261240176,178.47169167803548,94.2581855388813,0.08663028649386084,0.049845307665864556,0.7765555173599175,46.03581173260573,97.54087085038655,9.900494542974078,16643.68443042292,0.44440654843110505,0.007844474761255117,0.007844474761255117,36.182798914831096,71.22011425648022
false_negative,1128,49.54255319148936,116.56471631205673,76.3936170212766,26.02350928499024,166.72429078014184,85.52304964539007,0.11702127659574468,0.052734375,0.833984375,40.17109929078014,89.78398345153666,8.283960106382978,13730.936170212766,0.4326241134751773,0.09219858156028368,0.09219858156028368,30.33665684362798,57.76528812056737
correct,9788,52.06824683285656,128.34884552513282,81.88107887208827,27.495954930698826,181.06885982836127,90.11085002043319,0.12137310993052718,0.056333406256836575,0.8008094508860205,46.46776665304454,97.37033442310312,9.488941050265632,16814.167220065385,0.4814058030241112,0.0659991826726604,0.0659991826726604,35.581292087106426,67.1987019820188
