train_size,train_f1_mean,train_f1_std,validation_f1_mean,validation_f1_std,generalization_gap
8862,0.747036336193103,0.00179057332686965,0.7366993936699012,0.003462009567609556,0.01033694252320172
17724,0.7392020006234422,0.001404721944543504,0.7363741130309238,0.003938455348266033,0.0028278875925183966
26587,0.7397383384774432,0.0009180683721527219,0.7365741841326995,0.0034186774287311597,0.003164154344743708
35449,0.7387013055744884,0.0013369125865699033,0.7364045180719778,0.004112840795173921,0.002296787502510611
44312,0.7386570502975045,0.0006265936619941636,0.7368271068389494,0.003401061795734371,0.0018299434585551388
