threshold,precision,recall,f1,balanced_accuracy
0.05,0.4875072212593876,1.0,0.6554687120734016,0.5
0.06,0.48757763975155277,1.0,0.6555323590814196,0.5001409046075806
0.07,0.4880306646416432,0.9995556213894238,0.6558460491787346,0.5010459521629379
0.08,0.48902094354663384,0.9995556213894238,0.6567396593673966,0.5030186166690672
0.09,0.49001234836928886,0.999259368982373,0.6575689638366312,0.5049840595792519
0.09999999999999999,0.4915093652066176,0.9989631165753222,0.6588511137162955,0.5079358347425011
0.10999999999999999,0.49363010689705666,0.9986668641682713,0.6606889117546181,0.5120852990701861
0.12,0.4959870407186511,0.997778106947119,0.6626008262836908,0.5166430340287237
0.13,0.4988885595732069,0.9973337283365428,0.6650861856077444,0.5221979336342429
0.13999999999999999,0.5015285959287152,0.9962968449118649,0.6671957147108422,0.52717477161755
0.14999999999999997,0.5049601683451075,0.9952599614871871,0.6699905269980555,0.5335606556766639
0.15999999999999998,0.5088703563305534,0.9942230780625093,0.6731858984002809,0.5407215150774713
0.16999999999999998,0.5127793082338536,0.9925936898237299,0.676219789091276,0.5477270266788087
0.18,0.5172654072468257,0.9896311657532217,0.679412213352316,0.5555454687438788
0.19,0.5204838080374561,0.9880017775144423,0.6817949504242052,0.5610714819656191
0.19999999999999996,0.5238882329791421,0.9859280106650866,0.6842105263157895,0.5667980197048132
0.20999999999999996,0.5270720863766275,0.9834098652051548,0.6863079547216623,0.5720205589235581
0.21999999999999997,0.5305288461538461,0.9807435935416975,0.6885757370911549,0.5775917488632821
0.22999999999999998,0.534071619109207,0.9786698266923419,0.6910365024579019,0.5832478342986861
0.24,0.536682680563472,0.9762998074359354,0.6926229508196722,0.5872762951509676
0.24999999999999994,0.5406785243741765,0.9725966523478004,0.6949986768986505,0.5933153756314175
0.25999999999999995,0.5459933222036728,0.9688934972596652,0.6984143932518285,0.6012566683142063
0.26999999999999996,0.5497382198952879,0.9643015849503778,0.7002635400419512,0.6064991086651284
0.27999999999999997,0.5537909836065574,0.9607465560657681,0.7025943779450794,0.6121895384245989
0.29,0.5590503422580365,0.9557102651459043,0.7054450032801225,0.6193233585839427
0.3,0.563888644945991,0.9511183528366168,0.7080163193295843,0.62569303579551
0.30999999999999994,0.5686065136145222,0.9465264405273293,0.7104341542053477,0.6317104514881257
0.31999999999999995,0.5722397476340694,0.9404532661827877,0.7115319959654824,0.635859999302469
0.32999999999999996,0.5760116660590594,0.936157606280551,0.7131975399198781,0.640334685907642
0.33999999999999997,0.581081081081081,0.9299363057324841,0.7152378239817716,0.6461010259111906
0.3499999999999999,0.5854276069017255,0.924751888609095,0.7169681309216193,0.6509063092474812
0.35999999999999993,0.5901420535799409,0.9169011998222486,0.7180974477958236,0.6555761459164786
0.36999999999999994,0.5990215264187867,0.9068286179825211,0.7214660302869601,0.664700768058472
0.37999999999999995,0.6042743538767396,0.9004591912309288,0.723216941288442,0.6697589742261449
0.38999999999999996,0.609270854372854,0.8936453858687602,0.7245541343902,0.6742427295695781
0.3999999999999999,0.6164623467600701,0.8863872018960154,0.7271843480374286,0.6808996739365945
0.4099999999999999,0.6234203875315922,0.8769071248703896,0.7287499230627192,0.6865161240809606
0.41999999999999993,0.6303879310344828,0.8665382906236113,0.7298359428607074,0.6916177433109603
0.42999999999999994,0.6358349791529515,0.8583913494297141,0.7305389221556886,0.6953644784347387
0.43999999999999995,0.6436110487311925,0.8490593986076137,0.7321964616465478,0.7009140870732868
0.4499999999999999,0.6511121302453565,0.8412087098207673,0.734052866283203,0.7062179944763975
0.4599999999999999,0.6572764465225015,0.8329136424233446,0.7347445446230236,0.7098906664984133
0.4699999999999999,0.6608200995496564,0.8259517108576507,0.7342155507275001,0.7113413619808896
0.4799999999999999,0.6689755741888443,0.815434750407347,0.7349799732977303,0.7158052996788038
0.48999999999999994,0.6771741839023174,0.8050659161605688,0.7356026257021047,0.7199910389595292
0.49999999999999994,0.6847742922723795,0.7954377129314175,0.7359693003494826,0.7235607614960032
0.5099999999999999,0.692207453739901,0.7868463931269442,0.7364991334488735,0.7270148550107033
0.5199999999999999,0.6988416988416989,0.7775144423048437,0.7360818959472725,0.7293941099786865
0.5299999999999999,0.7071438328097255,0.7668493556510146,0.7357873791927232,0.7323749384990313
0.5399999999999999,0.7144452198185625,0.7582580358465413,0.7356999137683242,0.7349836043682474
0.5499999999999999,0.7188920454545454,0.7496667160420678,0.7339569284315858,0.735408248819963
0.5599999999999999,0.7235183306767136,0.7395941342023404,0.7314679167887489,0.7353740714692131
0.57,0.7298452468680914,0.7335209598577989,0.7316784869976359,0.7376214070812173
0.58,0.7338830584707646,0.7250777662568508,0.7294538409954548,0.7374860439005826
0.59,0.7376999238385377,0.7173752036735298,0.7273956142985881,0.7373687347098099
0.6,0.743371065281439,0.7101170197007851,0.7263636363636363,0.7384599470773898
0.61,0.7475098814229248,0.7003406902681084,0.7231569287243805,0.737658015980891
0.62,0.7519729425028185,0.6916012442601096,0.7205246913580247,0.7373040742929405
0.63,0.7590361445783133,0.6812324100133313,0.7180327868852459,0.7377558414727781
0.6399999999999999,0.7656435475665593,0.6687898089171974,0.7139468690702088,0.7370298206203572
0.6499999999999999,0.7712645677509132,0.6567915864316397,0.70944,0.7357510137315307
0.6599999999999999,0.7795969773299748,0.641830839875574,0.7040376959948006,0.7346113477946279
0.6699999999999999,0.7869460411644724,0.628647607761813,0.6989459815546772,0.7333741068258128
0.6799999999999999,0.7935841130418179,0.6156125018515776,0.69336002669336,0.7316473105284378
0.69,0.8015732546705998,0.6037624055695453,0.6887461980398784,0.7307948282603257
0.7,0.8063993519643581,0.5898385424381574,0.6813243220121482,0.7275668687955195
0.71,0.8109400998336106,0.5775440675455488,0.6746258326844883,0.7247308896273608
0.72,0.8138297872340425,0.566582728484669,0.6680639245480744,0.7216455984257923
0.73,0.8177671589921807,0.5576951562731447,0.6631439894319683,0.7197380952564822
0.74,0.8232537380049096,0.546437564805214,0.6568732193732194,0.7174205578006625
0.7499999999999999,0.8259981851179673,0.5393275070359946,0.6525674343579174,0.7156268365108112
0.7599999999999999,0.8282293345613632,0.532809954080877,0.6484586262844781,0.7138475584128494
0.7699999999999999,0.8310223266745006,0.5237742556658272,0.6425586043976013,0.7112319214076634
0.7799999999999999,0.8336110449892883,0.5187379647459636,0.639517896274653,0.7101228220235384
